problem_id,condition,group,num_tokens,tc_raw,tc_pca,tc_sae,s_raw,s_pca,s_sae
284,direct,G1,6,0,0,0,0.0,0.0,0.0
265,direct,G1,6,0,0,0,0.0,0.0,0.0
258,direct,G1,6,0,0,0,0.0,0.0,0.0
354,direct,G1,8,1,1,1,10.22705078125,10.22705078125,-829.8828125
103,direct,G1,3,0,0,0,0.0,0.0,0.0
208,direct,G1,5,0,0,0,0.0,0.0,0.0
67,direct,G1,3,0,0,0,0.0,0.0,0.0
176,direct,G1,5,0,0,0,0.0,0.0,0.0
238,direct,G1,8,1,1,1,87.68017578125,87.68017578125,-2102.6875
102,cot,G3,38,8,8,17,920.19287109375,1063.390380859375,18414.669921875
176,cot,G3,36,10,10,24,1153.1650390625,1315.888427734375,24849.04296875
341,cot,G3,43,12,12,11,1117.849365234375,1272.08447265625,26847.208984375
242,cot,G3,45,32,32,22,668.136474609375,791.09326171875,10795.603515625
365,cot,G3,48,11,11,27,1247.09912109375,1389.763916015625,17181.76953125
379,cot,G3,50,18,18,18,474.432861328125,544.272705078125,13748.845703125
395,cot,G3,25,14,14,12,479.53515625,564.57958984375,23538.357421875
301,cot,G3,40,11,11,11,1490.3779296875,1669.11962890625,16681.79296875
368,cot,G3,35,10,10,24,1017.688720703125,1292.736572265625,16730.568359375
241,cot,G3,41,12,12,12,1734.65234375,1966.422607421875,55175.5234375
371,cot,G3,51,37,8,37,484.319091796875,555.20166015625,20010.734375
164,cot,G3,36,10,10,2,812.02880859375,1007.629638671875,7260.51953125
347,cot,G3,23,13,13,12,580.768798828125,653.3525390625,10854.896484375
337,cot,G3,40,10,10,9,721.429443359375,884.703857421875,25171.646484375
218,cot,G3,39,18,18,25,687.826904296875,804.044921875,15620.248046875
265,cot,G3,41,12,12,29,1594.22705078125,1803.289794921875,36399.4296875
207,cot,G3,37,18,18,18,324.06005859375,371.20556640625,14516.4296875
175,cot,G3,39,17,7,18,393.736572265625,437.394287109375,10254.21875
381,cot,G3,45,10,10,10,1386.515869140625,1603.7978515625,11199.966796875
269,cot,G3,40,11,11,11,1436.6826171875,1798.213623046875,24216.19140625
336,cot,G3,31,21,21,8,622.12548828125,777.099365234375,5555.0
373,cot,G3,37,12,12,25,1088.98291015625,1344.06982421875,18954.326171875
364,cot,G3,37,11,11,26,1193.568359375,1542.173583984375,10297.193359375
384,cot,G3,40,13,13,22,644.955810546875,696.921875,6972.806640625
254,cot,G3,47,33,33,32,1000.926025390625,1120.94482421875,14105.30078125
225,cot,G3,37,12,12,25,1003.400390625,1206.130859375,15222.966796875
317,cot,G3,40,11,11,10,1189.6875,1339.846923828125,30238.74609375
313,cot,G3,43,12,12,12,1729.38525390625,1857.310546875,31669.56640625
261,cot,G3,43,12,12,26,1246.01611328125,1362.79638671875,14106.587890625
300,cot,G3,40,11,11,10,1633.36376953125,1855.64794921875,21881.2265625
340,cot,G3,30,16,16,23,1223.3349609375,1298.5712890625,7096.595703125
389,cot,G3,48,11,11,19,879.04833984375,1007.442138671875,27583.7265625
