radius_of_gyration,effective_dimension,speed,tortuosity,turn_angle,directional_consistency,cos_slope,early_late_ratio,time_to_commit,commitment_sharpness,problem_id,condition,correct,bin,group,layer,num_tokens
28.24819,6.2039986,42.978256,0.04479393,2.1036856,0.048714384,0.0012032758322759313,0.9933975,13,0.5189955,2,cot,True,UltraSmall,G4,0,26
190.28673,3.243658,297.78394,0.04297952,2.1737907,0.06530224,0.0015213863666240987,0.9492518,3,0.16699475,2,cot,True,UltraSmall,G4,1,26
187.3704,4.324085,289.5462,0.045609545,2.1311817,0.065979004,0.001587162017822265,0.9709509,3,0.123821676,2,cot,True,UltraSmall,G4,2,26
194.74182,4.8865585,295.327,0.046181254,2.1293614,0.05437661,0.000910289791914133,0.9050919,13,0.15482682,2,cot,True,UltraSmall,G4,3,26
213.78273,4.6487384,315.43588,0.049363367,2.1019468,0.053055976,0.0009525331625571618,0.92041945,3,0.039019287,2,cot,True,UltraSmall,G4,4,26
230.15633,4.56753,332.95038,0.039918214,2.105354,0.04767433,0.00030244501737447884,0.93943316,6,0.03774923,2,cot,True,UltraSmall,G4,5,26
291.53036,2.7853243,437.59552,0.048977952,2.1372683,0.05559792,0.0002753267379907461,0.80245346,3,0.022091866,2,cot,True,UltraSmall,G4,6,26
303.47626,3.1338785,451.448,0.03719881,2.0953343,0.051006682,0.00022611416303194487,0.936978,3,0.013736486,2,cot,True,UltraSmall,G4,7,26
385.85516,2.8286784,515.1527,0.04406705,2.0363643,0.044073954,0.0001945047195141132,0.90135074,3,0.007893205,2,cot,True,UltraSmall,G4,8,26
437.63742,2.623563,587.0228,0.041153017,2.005462,0.05819554,3.631266263815073e-05,0.90055424,13,0.003315568,2,cot,True,UltraSmall,G4,9,26
564.6074,2.1267033,753.37427,0.039573655,2.0256672,0.06365525,0.0001020215107844426,0.9688199,7,0.0051330924,2,cot,True,UltraSmall,G4,10,26
556.93854,2.115658,748.7491,0.05149172,2.0811508,0.07264907,5.070810134594257e-05,0.86606526,7,0.0024245381,2,cot,True,UltraSmall,G4,11,26
872.41077,1.7295973,1091.6564,0.03335401,2.0750744,0.08426752,1.5904444914597733e-05,0.9950989,3,0.0030390024,2,cot,True,UltraSmall,G4,12,26
771.35376,2.8031788,997.3516,0.03798426,1.9785942,0.07629885,1.4140560076786922e-05,1.0001496,3,0.0028844476,2,cot,True,UltraSmall,G4,13,26
901.8128,3.6191056,1125.9156,0.041964207,1.9926244,0.08831825,8.853137493133545e-05,1.0410763,3,0.0041862726,2,cot,True,UltraSmall,G4,14,26
1142.8284,6.7119756,1336.9034,0.05037176,1.9096097,0.0792304,-4.8524141311645516e-05,1.0495114,3,0.00826329,2,cot,True,UltraSmall,G4,15,26
1330.6554,5.6482997,1655.2731,0.040279847,1.9564174,0.08455033,-1.1121630668640137e-05,1.0598798,3,0.00835228,2,cot,True,UltraSmall,G4,16,26
1322.442,9.09454,1629.9716,0.04314439,1.9465669,0.07367663,5.394770548893856e-06,0.97260094,8,0.006650448,2,cot,True,UltraSmall,G4,17,26
1852.7075,9.097492,2276.8347,0.044335373,1.95202,0.08691302,-9.582134393545298e-07,0.9396863,14,0.014618993,2,cot,True,UltraSmall,G4,18,26
2244.6533,8.448422,2794.9731,0.048293855,1.9582886,0.092899576,0.00023490447264451245,1.0164903,2,0.024917841,2,cot,True,UltraSmall,G4,19,26
2417.3582,8.562927,3029.5557,0.05029913,1.9705639,0.09388559,0.0003712291900928204,1.0311685,2,0.026784599,2,cot,True,UltraSmall,G4,20,26
2643.416,8.359139,3348.7253,0.05073065,1.9757475,0.08875942,0.0005096817933596098,1.020566,2,0.036116183,2,cot,True,UltraSmall,G4,21,26
2885.179,8.288057,3727.6008,0.047485802,1.9840995,0.082505755,0.0005280034358684833,1.0232292,2,0.0358724,2,cot,True,UltraSmall,G4,22,26
3221.8738,8.205856,4180.3276,0.04649842,1.9907175,0.079353236,0.0005726904593981229,1.0136442,14,0.034196317,2,cot,True,UltraSmall,G4,23,26
3457.2637,8.455153,4522.9707,0.047482263,2.0030203,0.07242522,0.0010052857032189003,1.0231278,2,0.025828898,2,cot,True,UltraSmall,G4,24,26
3791.4524,8.355402,4870.4575,0.04314466,1.9888363,0.0771992,0.0006421406910969661,1.013999,19,0.038593948,2,cot,True,UltraSmall,G4,25,26
108.65041,4.252104,140.93697,0.030477032,2.0231938,0.05861197,0.004785488724995118,0.95577955,19,0.14619997,2,cot,True,UltraSmall,G4,26,26
23.81881,1.0000001,40.6603,0.52154803,2.044597,0.5214061,0.03586213290691376,0.9718809,0,0.014088035,3,direct,True,UltraSmall,G2,0,3
180.03049,0.9999999,342.66617,0.3475142,2.433333,0.3467744,0.07855623960494995,0.9528138,0,0.07572758,3,direct,True,UltraSmall,G2,1,3
167.1749,1.0,305.5005,0.41311574,2.3036323,0.4068292,0.051093101501464844,0.8542664,0,0.040504158,3,direct,True,UltraSmall,G2,2,3
163.29305,1.0,289.84177,0.4602989,2.193814,0.45635045,0.049449622631073,0.87334,0,0.031844616,3,direct,True,UltraSmall,G2,3,3
185.61159,1.0000001,335.43842,0.4320575,2.2574914,0.42779383,-0.06040453910827637,0.8744358,0,0.0046316385,3,direct,True,UltraSmall,G2,4,3
